id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
76,0,1,1,https://0g.haodf.com,0g.haodf.com,1,f0fea09d50b18cab.cdn.jiashule.com,118.143.194.141,1,1,443,521,,'',nginx,118.143.192.0/22,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Altdns
80,0,1,1,http://0g.haodf.com,0g.haodf.com,1,f0fea09d50b18cab.cdn.jiashule.com,118.143.194.141,1,1,80,521,,'',nginx,118.143.192.0/22,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Altdns
59,0,0,1,https://1g.haodf.com,1g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='1g.haodf.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x0000014A8E579FC8>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
60,0,0,1,http://1g.haodf.com,1g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='1g.haodf.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014A8E579C08>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
71,0,0,1,https://2g.haodf.com,2g.haodf.com,1,f0fea09d50b18cab.cdn.jiashule.com,118.143.194.141,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='2g.haodf.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x0000014A8E468388>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,118.143.192.0/22,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Altdns
72,0,0,1,http://2g.haodf.com,2g.haodf.com,1,f0fea09d50b18cab.cdn.jiashule.com,118.143.194.141,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='2g.haodf.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014A8E5B23C8>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,118.143.192.0/22,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Altdns
18,0,1,1,http://3g.haodf.com,3g.haodf.com,1,1951668.p23.tc.cdntip.com,116.177.248.103,1,1,80,521,,'',nginx,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
20,0,1,1,https://3g.haodf.com,3g.haodf.com,1,1951668.p23.tc.cdntip.com,116.177.248.103,1,1,443,521,,'',nginx,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
67,0,0,1,https://4g.haodf.com,4g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='4g.haodf.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x0000014A8E562F48>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
68,0,0,1,http://4g.haodf.com,4g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='4g.haodf.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014A8F838FC8>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
61,0,0,1,https://5g.haodf.com,5g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='5g.haodf.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x0000014A8F642248>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
62,0,0,1,http://5g.haodf.com,5g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='5g.haodf.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014A8F8B1A08>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
65,0,0,1,https://6g.haodf.com,6g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='6g.haodf.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x0000014A8E562488>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
66,0,0,1,http://6g.haodf.com,6g.haodf.com,1,sbdxt7v80d57lw29.aliyunddos0026.com,170.33.12.147,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='6g.haodf.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014A8E562C88>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))""),)",,,170.33.12.0/24,AS134963,Alibaba.com Singapore E-Commerce Private Limited,新加坡,阿里云,Altdns
16,1,1,1,http://callcenter.haodf.com,callcenter.haodf.com,1,1951676.p23.tc.cdntip.com,116.177.248.103,1,1,80,200,OK,400呼叫中心-好大夫在线,Tengine,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
21,1,1,1,https://callcenter.haodf.com,callcenter.haodf.com,1,1951676.p23.tc.cdntip.com,116.177.248.103,1,1,443,200,OK,400呼叫中心-好大夫在线,Tengine,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
26,1,1,1,http://dev.m.haodf.com,dev.m.haodf.com,2,"b3dfe9ff0397258f.cdn.jiashule.com,b3dfe9ff0397258f.cdn.jiashule.com","116.55.250.227,116.211.155.152","1,1",1,80,404,Not Found,404 Not Found,Tengine,"116.55.250.0/24,116.211.152.0/21","AS134765,AS58563","CHINANET Yunnan province IDC1 network,ChinaNet Hubei Province Network","中国云南省昆明市,中国湖北省武汉市","电信,电信",CertSpotterQuery
27,1,1,1,https://dev.m.haodf.com,dev.m.haodf.com,2,"b3dfe9ff0397258f.cdn.jiashule.com,b3dfe9ff0397258f.cdn.jiashule.com","116.55.250.227,116.211.155.152","1,1",1,443,404,Not Found,404 Not Found,Tengine,"116.55.250.0/24,116.211.152.0/21","AS134765,AS58563","CHINANET Yunnan province IDC1 network,ChinaNet Hubei Province Network","中国云南省昆明市,中国湖北省武汉市","电信,电信",CertSpotterQuery
13,1,1,1,https://download.haodf.com,download.haodf.com,1,download.haodf.com.wswebpic.com,157.185.169.203,1,1,443,200,OK,好大夫在线APP下载_手机客户端安卓版、iPhone版下载_患者版-好大夫在线,Tengine,157.185.169.0/24,AS54994,QUANTILNETWORKS,美国加利福尼亚,网宿,BaiduSearch
19,1,1,1,http://download.haodf.com,download.haodf.com,1,download.haodf.com.wswebpic.com,157.185.169.203,1,1,80,200,OK,好大夫在线APP下载_手机客户端安卓版、iPhone版下载_患者版-好大夫在线,Tengine,157.185.169.0/24,AS54994,QUANTILNETWORKS,美国加利福尼亚,网宿,BaiduSearch
39,0,1,1,http://haodf.com,haodf.com,1,3dfcb390ed8d3cce.cdn.jiashule.com,118.143.194.141,1,1,80,521,,'',nginx,118.143.192.0/22,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Finder
40,0,1,1,https://haodf.com,haodf.com,1,3dfcb390ed8d3cce.cdn.jiashule.com,118.143.194.141,1,1,443,521,,'',nginx,118.143.192.0/22,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Finder
14,1,1,1,http://hdfadmin.haodf.com,hdfadmin.haodf.com,1,1951701.p23.tc.cdntip.com,116.177.248.103,1,1,80,404,Not Found,页面没有找到-好大夫在线,Tengine,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,AlienVaultQuery
24,1,1,1,https://hdfadmin.haodf.com,hdfadmin.haodf.com,1,1951701.p23.tc.cdntip.com,116.177.248.103,1,1,443,404,Not Found,页面没有找到-好大夫在线,Tengine,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,AlienVaultQuery
29,0,1,1,https://hz.haodf.com,hz.haodf.com,1,1951702.p23.tc.cdntip.com,116.177.248.103,1,1,443,521,,'',nginx,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
32,0,1,1,http://hz.haodf.com,hz.haodf.com,1,1951702.p23.tc.cdntip.com,116.177.248.103,1,1,80,521,,'',nginx,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
10,1,1,1,https://mail.haodf.com,mail.haodf.com,1,"exmail.qq.com,exmail.qq.com","113.96.233.155,59.37.96.29","1,1",0,443,404,Not Found,404 Not Found,nginx,"113.96.224.0/20,59.37.96.0/19","AS4816,AS4816","China Telecom (Group),China Telecom (Group)","中国广东省深圳市,中国广东省深圳市","电信,电信",ThreatMinerQuery
12,1,1,1,http://mail.haodf.com,mail.haodf.com,1,"exmail.qq.com,exmail.qq.com","113.96.233.155,59.37.96.29","1,1",1,80,200,OK,腾讯企业邮箱-登录入口,nginx,"113.96.224.0/20,59.37.96.0/19","AS4816,AS4816","China Telecom (Group),China Telecom (Group)","中国广东省深圳市,中国广东省深圳市","电信,电信",ThreatMinerQuery
6,1,1,1,https://open.haodf.com,open.haodf.com,1,1951717.p23.tc.cdntip.com,116.177.248.103,1,1,443,200,OK,好大夫医生服务开放平台_好大夫在线,Tengine,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
25,1,1,1,http://open.haodf.com,open.haodf.com,1,1951717.p23.tc.cdntip.com,116.177.248.103,1,1,80,200,OK,好大夫医生服务开放平台_好大夫在线,Tengine,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
17,1,1,1,http://openpf.haodf.com,openpf.haodf.com,1,1951721.p23.tc.cdntip.com,116.177.248.103,1,1,80,404,Not Found,出错啦!,Tengine,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,AlienVaultQuery
23,1,1,1,https://openpf.haodf.com,openpf.haodf.com,1,1951721.p23.tc.cdntip.com,116.177.248.103,1,1,443,404,Not Found,出错啦!,Tengine,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,AlienVaultQuery
35,1,1,1,https://passport.haodf.com,passport.haodf.com,2,c5e9c55f71d1eec1.cdn.jiashule.com,118.143.194.141,1,1,443,200,OK,用户登录,,118.143.192.0/22,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Finder
36,1,1,1,http://passport.haodf.com,passport.haodf.com,2,c5e9c55f71d1eec1.cdn.jiashule.com,118.143.194.141,1,1,80,200,OK,用户登录,,118.143.192.0/22,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Finder
1,1,1,1,http://pvstat.haodf.com,pvstat.haodf.com,1,1951723.p23.tc.cdntip.com,116.177.248.103,1,1,80,403,Forbidden,403 Forbidden,Tengine,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
2,1,1,1,https://pvstat.haodf.com,pvstat.haodf.com,1,1951723.p23.tc.cdntip.com,116.177.248.103,1,1,443,403,Forbidden,403 Forbidden,Tengine,116.177.0.0/16,AS4837,China Unicom,中国青海省西宁市,联通,IP138Query
31,1,1,1,https://so.haodf.com,so.haodf.com,1,"4c60d187adfecdb9.cdn.jiashule.com,4c60d187adfecdb9.cdn.jiashule.com","116.55.250.213,116.211.155.152","1,1",1,443,200,OK,好大夫在线搜索_帮你搜到好大夫,,"116.55.250.0/24,116.211.152.0/21","AS134765,AS58563","CHINANET Yunnan province IDC1 network,ChinaNet Hubei Province Network","中国云南省昆明市,中国湖北省武汉市","电信,电信",NetCraftQuery
33,1,1,1,http://so.haodf.com,so.haodf.com,1,"4c60d187adfecdb9.cdn.jiashule.com,4c60d187adfecdb9.cdn.jiashule.com","116.55.250.213,116.211.155.152","1,1",1,80,200,OK,好大夫在线搜索_帮你搜到好大夫,,"116.55.250.0/24,116.211.152.0/21","AS134765,AS58563","CHINANET Yunnan province IDC1 network,ChinaNet Hubei Province Network","中国云南省昆明市,中国湖北省武汉市","电信,电信",NetCraftQuery
56,0,1,1,http://weixin149.test.haodf.com,weixin149.test.haodf.com,2,0d24d6891de9ecde.cdn.jiashule.com,211.151.13.209,1,1,80,502,Bad Gateway,Error,Tengine,211.151.8.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,Altdns
94,0,1,1,https://weixin149.test.haodf.com,weixin149.test.haodf.com,2,0d24d6891de9ecde.cdn.jiashule.com,211.151.13.209,1,1,443,521,,'',nginx,211.151.8.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,Altdns
57,1,1,1,http://weixin150.test.haodf.com,weixin150.test.haodf.com,2,0d24d6891de9ecde.cdn.jiashule.com,211.151.13.209,1,1,80,404,Not Found,404 Not Found,Tengine,211.151.8.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,Altdns
93,0,1,1,https://weixin150.test.haodf.com,weixin150.test.haodf.com,2,0d24d6891de9ecde.cdn.jiashule.com,211.151.13.209,1,1,443,521,,'',nginx,211.151.8.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,Altdns
43,1,1,1,http://weixin151.test.haodf.com,weixin151.test.haodf.com,2,0d24d6891de9ecde.cdn.jiashule.com,211.151.13.209,1,1,80,404,Not Found,404 Not Found,Tengine,211.151.8.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,Altdns
77,0,1,1,https://weixin151.test.haodf.com,weixin151.test.haodf.com,2,0d24d6891de9ecde.cdn.jiashule.com,211.151.13.209,1,1,443,521,,'',nginx,211.151.8.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,Altdns
30,0,1,1,https://weixin152.test.haodf.com,weixin152.test.haodf.com,2,0d24d6891de9ecde.cdn.jiashule.com,211.151.13.209,1,1,443,521,,'',nginx,211.151.8.0/21,AS23724,IDC China Telecommunications Corporation,中国北京北京市,电信,IP138Query
